word,Translation
da,and
a,in
ya,daughter
na,na
mai,May
zai,will
ta,facing
ina,where
cikin,in
kalmomi,words
daga,from
masu,owners
wannan,this
yi,do
ke,you
zuwa,arrival
suna,name
suka,criticism
sun,sun
ba,not
su,they
kamar,like
ga,ga
cewa,saying
rayuwa,life
amfani,benefit
tafiya,walk
aliyu,aliyu
aminatu,trust
sabon,new
kowane,every
gina,build
dukkan,all
cike,full
kuma,Same to you
yadda,how
bayyana,appear
tunani,thought
ilimi,education
ƙauna,love
aiki,job
ɗauke,carry
wanda,that
zurfi,depth
wani,anybody
ci,eat
haɗa,connect
waɗanda,those
zama,exist
lokacin,the time
tana,she is
ban,ban
sabbin,the new ones
harshen,the language
an,an
yanayi,nature
wata,moon
zuciya,heart
duk,all
ake,ake
har,until
zamani,period
tarihi,history
kalmomin,the words
aka,aka
lokaci,while
inda,wherever
domin,because
ji,hearing
irin,kind of
gaba,front
yayin,while
ƙarfi,strength
za,will
yana,he is
rana,day
kasance,remain
fahimtar,understand
koyi,learn
koya,learn
labarin,the story
magana,Speaking
salo,style
gani,see
tsawo,length
fara,start
iya,can
wajen,outside
wasa,game
dare,night
dariya,laugh
kalma,word
hausa,hausa
tashi,departure
gudu,flee
ma’ana,mean
jimloli,sentences
kowanne,each one
“maganar,"""the word"
sha,drink
kan,against
haske,light
nan,here
kayan,the goods
duniya,world
game,beard
gida,home
addu'a,prayer
haifar,cause
zurfin,the depth
amma,but
laushi,soft
tsabta,clarity
kyau,excellence
sanyi,cold
kai,you
murmushi,smile
ja,avert
nuna,show
jin,feeling
yau,today
kullum,constantly
sanya,put
zaman,session
koyar,to teach
taɓa,touch
rawa,dance
gargajiya,Traditional
ƙasa,ground
ne,it is
sha’awa,interest
itace,she is
sabuwar,the new one
bacci,Sleep
haka,so
mutane,people
hannu,hand
ce,say
lafiya,health
abubuwan,the things
kowa,each
littafi,book
kuka,cry
harbi,shot
sumbata,kiss
ƙidaya,statistics
kira,call
ɗaga,defer
sirrin,the secret
al’ada,tradition
labari,story
girma,bulk
soyayya,love
gajeru,short
fadi,wide
matsayin,the position
hanya,way
makaranta,school
tuki,driving
haɗu,blend
ita,she
koyon,learning
nishadi,fun
rubuta,write
suke,they are
wa,brother
so,love
lanƙwasa,bend
lambobi,Numbers
zauna,inhabit
rataya,hang
tsalle,jump
ƙamshi,smell
kallo,contemplation
ƙone,cremate
narke,melt
wuce,expire
raira,sing
nasara,victory
rufe,cover
kama,arrest
waɗannan,these
tare,repel
tabbatar,confirm
musamman,especially
ƙarshe,end
damar,opportunity
harshe,tongue
sababbin,the new ones
“ƙaunar,"""love"
yaro,child
yarinya,girl
duhu,darkness
ciki,abdomen
hanyoyi,ways
babba,great
hankali,mind
murya,voice
armashi,grace
sauƙi,relief
guda,single
sama,sky
shi,he
son,love
hanyar,the way
dumi,warm
harshenmu,our language
addini,religion
iyo,swimming
je,go
dakatar,stop
bi,follow
kashe,kill
mutu,die
saya,purchase
biya,payment
sayar,sell
saurara,listen
dandana,taste
tono,digging
fashe,break
tsayawa,stay
yanka,amputate
fada,palace
kwanciya,bedding
farkawa,waking up
aure,marriage
rasa,lose
cakuda,mixture
wanke,wash
dafa,cook
buɗe,open
juyawa,translation
zana,draw
ciyar,feed
jefa,throw
nemo,find
faɗuwa,decline
tura,push
ɗauka,take
karya,lie
sawa,wearing
girgiza,shake
bugun,hit
daban-daban,different
wurin,the place
alkawarin,the promise
mu,we
tattaunawa,reasoning
fasaha,skill
zukatan,the hearts
dorewa,sustainability
“sautin,"""the sound"
zamani”,"period"""
zuciya”,"heart"""
fahimta,understand
ba”,"not"""
maimakon,instead of
100,100
tsakanin,between
ƙanana,small
birnin,the city
ginin,the building
ranar,the day
shuɗi,blue
ƙara,increase
iska,air
hadu,met
tsuntsu,bird
wuri,place
kasuwa,market
ma’anoni,meanings
amsa,answer
launin,the color
shiga,enter
cika,fill
yake,it is
ƙoƙarin,try
jinkiri,postponement
nauyi,weight
rayuwar,the life
gidan,the house
allah,God
malami,teacher
bayan,behind
labarai,news
biki,holiday
zuciyar,the heart
kara,cane
daɗin,enjoy
darussa,lessons
ƙofa,door
juna,each other
shafi,page
jigon,the theme
ƙaunar,love
ko,or
asali,origin
koyo,to learn
hankali”,"mind"""
duniya”,"world"""
“matsayin,"""the position"
can,there
tunani”,"thought"""
”,""""
0,0
1,1
20,20
zance,reference
don,for
ƙauyen,the village
farin,white
ƙuntata,restrict
karfe,metal
gilashi,glass
janairu,January
sabulu,soap
ƙarfin,the strength
arziki,wealth
uwa,mother
wasu,others
tsauri,strict
fassara,translate
kadawa,shake
bakin,the mouth
teku,sea
hau,ascend
ma,too
ɗakin,the room
zafi,heat
rawaya,yellow
rediyo,radio
shirin,the plan
hoton,the photo
sauri,speed
mace,woman
rashin,absence
biliyan,billion
alamar,the sign
darussan,the lessons
ana,here
taro,mass
injina,machine
safiya,morning
disamba,December
masa,him
mutum,man
yin,do
wasanni,sport
kallon,the view
darasi,lesson
fahimci,understand
manyan,big
gwiwa,knee
rawar,role
gagarumar,great
waƙa,song
wacce,who
abin,the thing
tsaya,stand
haskaka,illuminate
babbar,big
tsofaffin,the old ones
littafin,the book
jimla,sum
idan,if
sararin,space
fitowa,coming out
saba,used to
ɗimbin,a lot
gaban,ahead
tsohuwar,the old one
buɗewa,opening
mamaki,astonishment
malam,teacher
tsantsar,pure
lafiya”,"health"""
“hawaye,"""Tears"
ilimi”,"education"""
“muhimmancin,"""important"
tsohon,the former
“lokaci,"""while"
musu,them
gaskiya”,"truth"""
gane,identify
dama,agitate
ma’ana”,"mean"""
“sabon,"""new"
nuni”,"indication"""
“gwanon,"""The master"
“ƙarfin,"""strength"
nishadi”,"fun"""
taurari,stars
iyaka”,"border"""
“ƙirƙirar,"""creative"
adabi,literature
bishiya,tree
sirri”,"secret"""
al’umma,nation
baiwa,faculty
gada,bridge
2,2
3,3
60,60
80,80
dace,appropriate
ƙarƙashin,under
hasken,the light
baƙin,the guest
lu'ulu'u,pearls
litinin,Monday
zo,come
doguwa,tall
saurin,speed
kyakkyawa,lovely
daɗi,pleasure
mata,women
sabo,new
tsohuwa,old woman
al’amuran,the events
sauƙin,easy
bazara,spring
titi,street
nisa,distance
zagaye,round
duwatsu,mountains
shagon,the shop
furta,state
ni,me
muka,we
laraba,Wednesday
talbijin,the television
wayar,the phone
agogo,watch
fitila,lamp
kwamfuta,computer
allon,the screen
laptop,laptop
kifi,fish
hango,a glimpse
doki,horse
asabar,Saturday
jawabi,speech
tunanin,think
canza,change
mara,slap
mugun,bad
namiji,male
fassarar,translation
nuni,indication
alade,pig
ko’ina,everywhere
kwana,angle
bango,wall
haɗin,connection
fadin,the width
fita,exit
sha'awa,interest
beraye,rats
gudana,flow
dalibai,students
hadaddun,complex
kiɗa,music
waƙoƙi,songs
kida,music
kamara,camera
bada,give
na'urorin,devices
lantarki,electronic
jarida,newspaper
rigar,the dress
fari,drought
baƙi,black
samun,get
kiran,the call
watan,the month
zinariya,gold
jima'i,sex
kishi,jealousy
musayar,exchange
kalamai,words
mun,we
abubuwa,things
yawa,lot
sarki,king
ɗan,participant
alama,sign
jirgin,the ship
ɗaya,one
taron,the event
daren,the night
ganye,leaf
ƙirƙirar,create
sifa,attribute
tushen,the source
abada,forever
tashin,the rise
karin,more
al’adun,the culture
haɗuwa,combination
al’adunmu,our culture
cikakkiyar,perfect
duniyar,the world
fuskantar,facing
kalubale,challenge
waƙar,the song
gaskiya,truth
birni,city
lokuta,times
samaniya,the sky
inuwa,shadow
ɗaukar,take
shahara,popular
adon,decoration
fushin,the anger
tsanani,severity
dogon,long
karatu,apprenticeship
aljanna”,"paradise"""
masoya”,"lovers"""
gano,find
natsuwa”,"calm down"""
addini”,"religion"""
shawara,advice
majalisar,the council
maganganu,statements
labarai”,"news"""
salon,salon
“amintattun,"""trusted"
tafiyarsu,their journey
lami,lami
magana”,"Speaking"""
sha’awa”,"interest"""
shauki,passion
“idan,"""if"
sai,until
harshe”,"tongue"""
salo”,"style"""
“lallai,"""Indeed"
tabbatacce”,"convincing"""
“zuciya,"""heart"
“sauti,"""sound"
karko”,"hold on"""
fata”,"skin"""
“salamun,"""Hello"
“sadaukarwa,"""sacrifice"
al’umma”,"nation"""
rayuwa”,"life"""
misaltuwa”,"example"""
kima,value
fahimce,understand
“ilimin,"""knowledge"
“fasahar,"""technology"
adabi”,"literature"""
fagen,the field
zane”,"design"""
“ƙwaƙwalwar,"""The memory"
tarihi”,"history"""
faɗi”,"fall"""
ƙarfafa,consolidate
tsananin,the intensity
bincike,research
akwai,there is
misaltuwa,example
tarihin,the history
farawa,starting
kalaman,the words
“masu,"""They have"
musamman”,"especially"""
“labarin,"""The story"
rayuwarsu,their lives
ƙauna”,"love"""
tsinci,find
tsauri”,"tough"""
mamaki”,"astonishment"""
fasaha”,"skill"""
daraja”,"worth"""
tamkar,like
sauraro,hearing
san,know
zamanin,era
asalin,the origin
kakanninsu,their ancestors
sako,recess
sani,know
wahala,bother
4,4
5,5
6,6
7,7
8,8
9,9
10,10
21,21
22,22
30,30
31,31
32,32
40,40
41,41
42,42
50,50
51,51
52,52
61,61
62,62
70,70
71,71
72,72
81,81
82,82
90,90
91,91
92,92
101,101
102,102
110,110
111,111
1000,1000
1001,1001
1500,1500
10000,10000
100000,100000
zuwan,coming
fuskokin,the faces
gwagwarmaya,struggle
garin,the town
kyalli,glitter
shekara,year
sa'a,good luck
minti,minute
sakan,second
farka,revive
gadon,the bed
jiki,body
ɗa,son
uba,father
matashiya,adolescent
fuskantarwa,Orientation
idanunta,her eyes
gashin,the hair
kanta,counter
saboda,through
kwarewarta,her experience
ruwan,the water
kogi,river
talata,Tuesday
gefen,side
shawagi,fly
tsallaka,crossing
gadoji,bridges
gadar,the bridge
mota,car
keke,bicycle
bas,bus
isa,enough
hulɗa,contact
sauran,the rest
wasan,the game
kwaikwayo,imitation
ɗumi,warm
malamin,the teacher
