word,Translation
من,from
في,in
بين,between
التي,that
إلى,to
عن,on
على,on
كل,all
الحياة,life
وفي,And in
حيث,where
كان,He was
كانت,She was
أن,that
الذي,that
ومن,And who
مع,with
تلك,that
كانا,They were
الزمن,Time
تحمل,to bear
مثل,like
رغم,despite
فقد,Lost
معاني,Meanings
أيهم,Which one?
الشاب,The young man
الحب,love
وعن,And about
مفردات,Vocabulary
كما,as
الأيام,The days
الماضي,the past
لا,no
الطبيعة,nature
يوم,day
معًا,together
قصص,stories
كانوا,They were
بكل,With all
جمعت,collected
الكلمات,words
الإنسان,man
صغيرة,Small
تجمع,pool
وكيف,And how
أسماء,names
اللغة,the language
القلب,the heart
الأحمر,Red
ما,what
الشمس,The sun
إحدى,One
فيها,In it
الروح,the spirit
صوت,voice
أيام,days
الحديث,Hadith
الحياة،,"life,"
ضوء,a light
كيف,how
ومع,And with
المدينة,City
الليالي,Nights
طياتها,Its folds
والفتاة,and death
وكل,And all
بأن,That
لم,did not
الأصوات,Votes
خلال,during
هذه,This is amazing
"""",""""
تمتد,Stretching
والأزرق,And blue
والأخضر,and green
قديمة,Old
وكانت,And it was
روح,the soul
الفتاة,The girl
حرارة,heat
مليئة,Full
اللحظات,Gasp
أحد,Sunday
الأسبوع،,"week,"
والخبز,And bread
فكانا,So they were
بعضهما,each other
الأرض,the earth
هو,he
الشوارع,Streets
الوجود,Existence
جديد,new
ففي,In
وأن,and that
لكل,per
تفاصيل,details
رحلة,a trip
بل,but rather
الزهور,Flowers
عنيفة,Violent
درسًا,A lesson
هي,she
كلمات,words
تتراقص,Dancing
لجين,silver
"""إنّ","""that"
الذين,Who
ولجين,And Jane
عبر,via
الأزقة,Alleys
بالأمل,With hope
هناك،,"there,"
يجمع,collects
والحزن،,"And sadness,"
المدينة،,"city,"
بينما,while
يعمل,He works
أمام,before
القهوة,Coffee
منذ,since
تُعيد,You repeat
معنى,meaning
الألم,Pain
والمستقبل،,and the future
الفرح,Joy
الجبال,Mountains
الليالي،,"nights,"
تحت,under
وسط,middle
وبينما,And while
أسرار,Secrets
يومٍ,day
بارد،,"cold,"
آخر،,"last,"
لكنهما,But they are
الأيام،,"days,"
العذبة,Fresh
حتى,until
جديدة,New
والحاضر,And the present
تنساب,Flowing
الأحد,Sunday
والعلوم,and science
كلماتٍ,words
فوق,above
زوايا,Corners
الليل,the night
هناك,there
أمواج,waves
تروي,Troy
الأفكار,Ideas
قصة,story
يحمل,He carries
أنغام,Melodies
الحياة؛,life;
مفتاح,key
أرجاء,Around
الأمل,Hope
حدود,approx
تُعدّ,Count
فيه,In it
البحر,the sea
حكاية,tale
قصيدة,poem
نبض,to throb
والروح،,And the soul
وفتاة,And a girl
طرق,Knock
الناري,Fiery
البارد,The cold
الوارف،,"Alwarf,"
يمكن,maybe
بدأت,I started
مدينةٍ,city
ذات,Self
وخشب،,"And wood,"
الضيقة,Narrow
دافئ،,"warm,"
القامة,Stature
الطول,height
الشباب,Youth
حينما,When
المطر,Rain
ملامحها,Her features
الرقيقة,Kind
ورشةٍ,workshop
الفن,Art
وكان,And it was
موسيقية,Musical
منها,From her
يجلس,He sits
حديقة,garden
بالأشجار,With trees
الطيور,Birds
يفكر,He thinks
المستقبل،,"the future,"
صباح,morning
عندما,when
برائحة,With a scent
الطازجة,Fresh
دخلت,I entered
حياة,life
كنسمةٍ,Like a breeze
صيفي,My summer
ترتدي,She wears
فستانًا,A dress
لمسة,Touch
اللحظة,The moment
ماضٍ,past
قديم،,"ancient,"
وجه,face
القسوة,Cruelty
عباراتٌ,expressions
البعض,Some
جراح,the surgeon
بينهما,Between them
كلّ,all
يتحدثان,They talk
مرّت,It passed
كأنها,As if it were
كلماتها,Her words
الماء,Water
تتعانق,Hugging
جلسا,meeting
القمر,the moon
الفضي,Silver
أمجاد,Glories
وعبر,And across
حكايات,Tales
جد,grandfather
الصعاب،,"difficulties,"
يملكون,They own
قويًا,Strong
ينبض,Pulsing
النظيفة،,"clean,"
مستمدين,You are educated
ضجيج,noise
هدوء,calm
الزمن،,"time,"
مرور,passage
نما,like
وتغيرت,and change
التجارب,Experiments
أصبحت,I became
خيوط,Threads
الطويل,The long one
عمق,depth
أوقات,times
لحظات,Moments
الموسيقى,Music
استخدما,Use them
ليخلقا,To create
لقاءاتهما,Their meetings
الشاي,Tea
الساخن,Hot
أغنية,song
سماء,sky
وتناوبت,and periodicity
القوة,power
لتجاوز,To transcend
الحكم,Judgment
ترددها,Her frequency
أمهاتهما,Their mothers
حين,when
الحضور,the audience
الأزمان,The times
قوي،,"strong,"
مزينة,Decorated
تعبر,Cross
اللامع،,"Brilliant,"
الجميع,everyone
شيءٍ,something
هذا,this
الكون,universe
دقيقة,minute
إذ,so
تحدث,to speak
حبٍ,love
الليلة,Tonight
بعدها,Then
لغةً,language
تُعلم,knowledge
خلالها,During it
أدركا,They realized
يوم،,"day,"
وثانية،,"secondly,"
لحظةٍ,Just a moment
قيمة,value
لحظة,Just a moment
القديمة,Old
الشعبية,Popularity
وجد,Found
زرع,planting
سار,sir
الدرب,The trail
الأحداث,Events
تغب,You're gone
السنة,Sunnah
يناير,January
ديسمبر,December
وتناولا,and eat
حديثهما,Their conversation
بها,With it
المسافات,Distances
بالأمتار,In meters
والسنتيمترات,and centimeters
درجات,grades
الحرارة,the heat
وبرودة,And cold
قضايا,Issues
وحكمًا,judgment
الناس,the people
تعكس,Reflect
التكنولوجيا,Technology
وحتى,And even
شيء,something
وعلى,And on
النهر,The river
تتلاقى,Converge
رياح,winds
يكون,He is
جسرًا,A bridge
خشبية,Wooden
مقهى,cafe
صغير،,"small,"
شاشة,a screen
مواقف,Positions
تجعل,make
الضحك,Laughter
يخرج,He comes out
الحقيقي,Real
يتخطى,Skips
أحلك,Darkest
الأطفال,children
روائح,Smells
رمزًا,Symbolically
ذكرى,memory
انتهت,It's over
النضوج,Maturity
ألوان,colors
قصةً,story
جمال,beauty
الحكاية,The story
الفهم,Understanding
المئة,The hundred
المفردات,Vocabulary
ختام,conclusion
صفحات,Pages
الزمان،,"time,"
تنسج,Weave
لتبقى,To stay
قلب,the heart
الحيوانات,Animals
والجبن,And cheese
والقهوة,And coffee
والمنزل,And home
تلتقي,You meet
الحداثة,Modernity
تنبض,Pulsing
لجين،,"silver,"
والوفاء,loyalty
والحياة,And life
أيهم،,Which one?
الصباح,the morning
الرفيعة,The thin one
أما,As for
صمت,silence
تحيط,surround
الحرف,Letter
الزجاج,Glass
معقدة,Complex
الإلكترونية,Electronic
والتجدد,and renewal
فردّ,individual
مبتسمًا,Smiling
كتابة,writing
القديمة،,"old,"
الأسواق,Markets
بألوانٍ,With colors
فتيل,fuse
الخلاف,Disagreement
جدّ,grandfather
أخرى,Other
خضمّ,digestion
التفاصيل,the details
اليومية,Daily
أطراف,Extremities
حول,around
الأجداد,Grandparents
مفتوح,open
أوراقها,Its leaves
شهر,city
الحدائق،,"gardens,"
لهذه,For this
جديد،,"new,"
منخفض،,"low,"
"الفرج""،","relief,"
أيضًا,also
يقطران,They drip
فرصة,an opportunity
تتخللها,Interspersed with it
تتحدى,Challenge
حكايةٍ,tale
العطاء,Giving
0,0
أسرد,List
لك,for you
العمر,the age
والنضوج،,"maturity,"
أصداؤها,Its echoes
والفضاء,and space
وتتناغم,and harmony
أنغامها,Its melodies
فتًى,boy
اجتمعا,They met
مفترق,crossroads
القدر،,"fate,"
تزخر,It abounds
بجمالها,With her beauty
وقساوتها،,"And its cruelty,"
وتتنوع,and diversity
ألوانها,Its colors
وفيها,And in it
يعبر,He crosses
به,to
اللسان,tongue
مشاعر,feelings
وتعابيره,and expression
القصة,The story
مبانٍ,Buildings
حجرٍ,to forbid
يسكن,He lives
أهلها,Its people
والشوارع,And the streets
الواسعة،,"wide,"
تُشرق,It shines
صباحٍ,morning
وعدًا,a promise
بيومٍ,One day
جديدٍ,new
مليءٍ,full
والعمل,and work
عاش,He lived
شابٌ,young man
طويل,long
وذو,And with
وجهٍ,face
وسيم،,"handsome,"
مظهره,His appearance
الطيب,The good one
وفتاةٌ,a dead woman
بعينين,With two eyes
لامعتين,Shiny
كنجوم,Like stars
الليل،,"the night,"
وعطر,And perfume
الزهر,Dice
خطواتها,Her steps
يتيم,orphan
القلب؛,the heart;
والده,mother
حادثٍ,accident
عنيفٍ,violent
وقع,He fell
ليالي,Nights
الشتاء,winter
القارس,Frigid
اجتاح,Sweep
الثلجي,Snowy
تبتسم,She smiles
آلامها,Her pain
وخيباتها,And her disappointments
نقشها,the roles
الزمان,Time
بجد,seriously
يصنع,He makes
الأدوات,Tools
المعدن,Metal
والزجاج،,"and glass,"
يستلهم,Get inspired
النار,Fire
تذوب,Melt
المعادن,Metals
وتُشكّلها,And form it
أشكال,Forms
منحوتة،,"carved,"
يستخدم,is used
آلة,machine
تصدر,Issued
ألحانٌ,Melodies
عذبة,Fresh
تُحيي,You greet
وتُنعش,And revive
مساء،,"evening,"
بعد,after
ينتهي,Ends
عمله،,"currency,"
كرسي,chair
خشبي,wooden
نافذةٍ,window
واسعة,Wide
يُطل,He looks out
والزهور,Walzhoor
المتنوعة,Miscellaneous
الوردي,Pink
والأصفر،,"and yellow,"
يستمع,He listens
تغرّد,Tweet
بنغمٍ,With a tune
فريد،,"unique,"
اللقاء,The meeting
سيغير,He will change
مجرى,Hungarian
حياته,His life
الهواء,Air
يعبق,Fragrant
المحمص،,"roasted,"
باردة,Cold
حار،,"hot,"
أنيقًا,Elegant
يبرز,stands out
جمالها,Her beauty
الطبيعي،,"natural,"
وتضع,And put down
قبعةً,hat
تُضفي,Add
البراءة,Innocence
والثقة,And trust
عرفتها,I knew her
العيون,The eyes
الأولى؛,The first;
قلبها,Her heart
أسراراً,Secrets
وآلامًا,And pain
وابتسامتها,And her smile
الناعمة,The soft one
للنفس,For the soul
رونق,prosperity
الطفولة,Childhood
والبراءة،,"And innocence,"
صعوبات,Difficulties
جعلها,Make it
تنضج,Mature
والعنف,And violence
تبادلا,Exchange
والكلمات,And words
حملت,I got pregnant
والوفاء،,"Loyalty,"
وتخللتها,and its disturbance
بالتساؤل,By wondering
والاستفهام,And the question
يسألان,They ask
هل,Do
نستطيع,We can
نحافظ,We maintain
براءتنا,Our innocence
قسوة,hardness
العالم؟,the world?
وهل,And is it?
يستطيع,He can
يشفي,Heals
والدموع؟,And the tears?
العذبة،,"fresh,"
الحاضر,The present
والماضي,And the past
الأمس,yesterday
مضى,It's gone
والآن,And now
يعيشانه،,"They live it,"
غدٍ,Tomorrow
يبشر,He preaches
والتجديد,and renewal
